구동,갯수
서울특별시 관악구 신림동,155
서울특별시 관악구 봉천동,109
서울특별시 강서구 화곡동,108
서울특별시 강남구 역삼동,94
서울특별시 금천구 독산동,87
서울특별시 구로구 구로동,82
서울특별시 강북구 미아동,80
서울특별시 노원구 상계동,79
서울특별시 서초구 서초동,79
서울특별시 강북구 수유동,77
서울특별시 영등포구 신길동,74
서울특별시 중랑구 면목동,67
서울특별시 강남구 논현동,61
서울특별시 양천구 신정동,60
서울특별시 금천구 시흥동,60
서울특별시 강남구 대치동,59
서울특별시 송파구 가락동,57
서울특별시 마포구 서교동,57
서울특별시 도봉구 창동,57
서울특별시 영등포구 대림동,56
서울특별시 서초구 방배동,55
서울특별시 송파구 방이동,54
서울특별시 성북구 정릉동,53
서울특별시 동작구 사당동,52
서울특별시 양천구 목동,51
서울특별시 양천구 신월동,51
서울특별시 광진구 자양동,50
서울특별시 강남구 신사동,49
서울특별시 도봉구 방학동,48
서울특별시 강남구 삼성동,47
서울특별시 성동구 성수동2가,46
서울특별시 도봉구 쌍문동,46
서울특별시 송파구 잠실동,46
서울특별시 금천구 가산동,45
서울특별시 노원구 중계동,45
서울특별시 노원구 공릉동,43
서울특별시 광진구 중곡동,43
서울특별시 영등포구 여의도동,42
서울특별시 광진구 화양동,40
서울특별시 강동구 천호동,40
서울특별시 강서구 등촌동,40
서울특별시 동작구 상도동,39
서울특별시 은평구 응암동,38
서울특별시 광진구 구의동,38
서울특별시 서대문구 창천동,36
서울특별시 강북구 번동,35
서울특별시 강서구 방화동,35
서울특별시 서초구 반포동,34
서울특별시 은평구 신사동,32
서울특별시 중구 신당동,32
서울특별시 강남구 청담동,32
서울특별시 은평구 역촌동,32
서울특별시 구로구 개봉동,31
서울특별시 송파구 문정동,31
서울특별시 강서구 마곡동,30
서울특별시 은평구 갈현동,30
서울특별시 서초구 양재동,30
서울특별시 동대문구 장안동,30
서울특별시 성동구 성수동1가,29
서울특별시 중랑구 상봉동,29
서울특별시 송파구 석촌동,28
서울특별시 용산구 한남동,28
서울특별시 도봉구 도봉동,28
서울특별시 구로구 오류동,27
서울특별시 서대문구 연희동,27
서울특별시 서대문구 홍은동,27
서울특별시 은평구 불광동,27
서울특별시 강동구 암사동,27
서울특별시 용산구 이태원동,26
서울특별시 강동구 성내동,26
서울특별시 송파구 삼전동,26
서울특별시 송파구 송파동,26
서울특별시 성동구 행당동,26
서울특별시 서대문구 북가좌동,25
서울특별시 중랑구 망우동,24
서울특별시 송파구 거여동,24
서울특별시 성북구 종암동,24
서울특별시 마포구 성산동,24
서울특별시 종로구 창신동,23
서울특별시 서대문구 홍제동,23
서울특별시 성북구 석관동,23
서울특별시 동작구 신대방동,23
서울특별시 송파구 장지동,22
서울특별시 송파구 마천동,21
서울특별시 마포구 합정동,21
서울특별시 중랑구 중화동,21
서울특별시 서대문구 남가좌동,21
서울특별시 동대문구 휘경동,21
서울특별시 은평구 녹번동,20
서울특별시 마포구 망원동,20
서울특별시 중랑구 신내동,20
서울특별시 은평구 대조동,20
서울특별시 동대문구 전농동,20
서울특별시 서초구 잠원동,19
서울특별시 성북구 장위동,19
서울특별시 성동구 용답동,19
서울특별시 구로구 신도림동,19
서울특별시 은평구 진관동,19
서울특별시 송파구 풍납동,19
서울특별시 동대문구 이문동,19
서울특별시 구로구 고척동,18
서울특별시 송파구 오금동,18
서울특별시 동대문구 제기동,18
서울특별시 용산구 보광동,18
서울특별시 강동구 상일동,17
서울특별시 강동구 길동,17
서울특별시 노원구 월계동,17
서울특별시 관악구 남현동,17
서울특별시 동작구 노량진동,17
서울특별시 강서구 가양동,16
서울특별시 강남구 일원동,16
서울특별시 성동구 옥수동,15
서울특별시 동대문구 용두동,15
서울특별시 은평구 구산동,15
서울특별시 영등포구 영등포동,15
서울특별시 종로구 숭인동,15
서울특별시 성북구 하월곡동,15
서울특별시 성동구 마장동,15
서울특별시 용산구 후암동,14
서울특별시 성북구 길음동,14
서울특별시 중랑구 묵동,14
서울특별시 마포구 동교동,14
서울특별시 노원구 하계동,14
서울특별시 강남구 개포동,14
서울특별시 영등포구 양평동4가,14
서울특별시 중구 황학동,14
서울특별시 강서구 염창동,14
서울특별시 서대문구 북아현동,14
서울특별시 마포구 아현동,13
서울특별시 영등포구 문래동3가,13
서울특별시 마포구 공덕동,13
서울특별시 강동구 명일동,13
서울특별시 마포구 신수동,13
서울특별시 마포구 연남동,13
서울특별시 성북구 돈암동,13
서울특별시 용산구 한강로2가,13
서울특별시 서대문구 대현동,13
서울특별시 강동구 둔촌동,13
서울특별시 종로구 평창동,13
서울특별시 성동구 하왕십리동,12
서울특별시 영등포구 도림동,12
서울특별시 강남구 압구정동,12
서울특별시 동작구 대방동,12
서울특별시 강동구 고덕동,12
서울특별시 용산구 동자동,12
서울특별시 마포구 도화동,12
서울특별시 강남구 도곡동,11
서울특별시 강남구 세곡동,11
서울특별시 마포구 상암동,11
서울특별시 동대문구 답십리동,11
서울특별시 강서구 공항동,10
서울특별시 동대문구 회기동,10
서울특별시 광진구 군자동,10
서울특별시 영등포구 당산동1가,10
서울특별시 송파구 신천동,10
서울특별시 용산구 이촌동,9
서울특별시 구로구 가리봉동,9
서울특별시 동작구 동작동,9
서울특별시 영등포구 영등포동4가,9
서울특별시 성북구 삼선동5가,9
서울특별시 강서구 내발산동,9
서울특별시 용산구 효창동,9
서울특별시 마포구 대흥동,9
서울특별시 종로구 동숭동,9
서울특별시 용산구 한강로3가,9
서울특별시 마포구 창전동,9
서울특별시 영등포구 양평동3가,9
서울특별시 은평구 수색동,8
서울특별시 영등포구 영등포동2가,8
서울특별시 강남구 자곡동,8
서울특별시 용산구 한강로1가,8
서울특별시 강북구 우이동,8
서울특별시 종로구 관훈동,8
서울특별시 성동구 금호동2가,8
서울특별시 마포구 상수동,8
서울특별시 서초구 우면동,8
서울특별시 동대문구 청량리동,8
서울특별시 성북구 안암동5가,8
서울특별시 마포구 신공덕동,8
서울특별시 성북구 동선동1가,8
서울특별시 용산구 용산동2가,8
서울특별시 종로구 구기동,7
서울특별시 서초구 신원동,7
서울특별시 강남구 수서동,7
서울특별시 성동구 도선동,7
서울특별시 영등포구 당산동,7
서울특별시 서대문구 신촌동,7
서울특별시 종로구 부암동,7
서울특별시 광진구 광장동,7
서울특별시 종로구 종로6가,7
서울특별시 은평구 증산동,7
서울특별시 영등포구 영등포동3가,7
서울특별시 동작구 흑석동,7
서울특별시 영등포구 양평동5가,7
서울특별시 용산구 남영동,7
서울특별시 용산구 원효로2가,6
서울특별시 용산구 청파동3가,6
서울특별시 용산구 청파동2가,6
서울특별시 종로구 관철동,6
서울특별시 영등포구 당산동6가,6
서울특별시 강동구 강일동,6
서울특별시 동대문구 신설동,6
서울특별시 마포구 중동,6
서울특별시 마포구 염리동,6
서울특별시 중구 남창동,6
서울특별시 종로구 묘동,6
서울특별시 성동구 사근동,6
서울특별시 종로구 종로5가,6
서울특별시 강서구 개화동,5
서울특별시 마포구 노고산동,5
서울특별시 서대문구 옥천동,5
서울특별시 성동구 금호동1가,5
서울특별시 영등포구 문래동5가,5
서울특별시 광진구 능동,5
서울특별시 성동구 송정동,5
서울특별시 성북구 동선동3가,5
서울특별시 용산구 원효로1가,5
서울특별시 성북구 삼선동4가,4
서울특별시 종로구 원남동,4
서울특별시 동작구 본동,4
서울특별시 동작구 상도1동,4
서울특별시 종로구 돈의동,4
서울특별시 중구 을지로6가,4
서울특별시 성북구 성북동,4
서울특별시 구로구 궁동,4
서울특별시 용산구 서빙고동,4
서울특별시 구로구 천왕동,4
서울특별시 성북구 보문동2가,4
서울특별시 중구 인현동2가,4
서울특별시 용산구 서계동,4
서울특별시 서대문구 충정로2가,4
서울특별시 종로구 청진동,4
서울특별시 성북구 삼선동1가,4
서울특별시 영등포구 문래동2가,4
서울특별시 영등포구 양평동1가,4
서울특별시 종로구 익선동,4
서울특별시 영등포구 당산동5가,4
서울특별시 용산구 갈월동,4
서울특별시 영등포구 영등포동5가,4
서울특별시 강서구 외발산동,4
서울특별시 종로구 수송동,4
서울특별시 용산구 청파동1가,4
서울특별시 영등포구 양평동2가,4
서울특별시 중구 충무로3가,3
서울특별시 중구 봉래동2가,3
서울특별시 중구 을지로3가,3
서울특별시 종로구 낙원동,3
서울특별시 중구 을지로7가,3
서울특별시 중구 명동2가,3
서울특별시 중구 오장동,3
서울특별시 중구 충무로1가,3
서울특별시 중구 중림동,3
서울특별시 용산구 동빙고동,3
서울특별시 종로구 계동,3
서울특별시 종로구 충신동,3
서울특별시 종로구 명륜1가,3
서울특별시 종로구 이화동,3
서울특별시 종로구 장사동,3
서울특별시 종로구 종로3가,3
서울특별시 종로구 종로4가,3
서울특별시 용산구 용문동,3
서울특별시 영등포구 영등포동7가,3
서울특별시 성북구 동선동2가,3
서울특별시 영등포구 당산동4가,3
서울특별시 구로구 온수동,3
서울특별시 성북구 삼선동2가,3
서울특별시 성북구 안암동3가,3
서울특별시 성북구 상월곡동,3
서울특별시 성북구 동소문동5가,3
서울특별시 서초구 내곡동,3
서울특별시 서초구 원지동,3
서울특별시 영등포구 문래동1가,3
서울특별시 영등포구 양화동,3
서울특별시 성북구 보문동7가,3
서울특별시 영등포구 영등포동6가,3
서울특별시 성북구 동선동4가,3
서울특별시 영등포구 당산동2가,3
서울특별시 구로구 항동,3
서울특별시 성북구 안암동1가,3
서울특별시 영등포구 영등포동8가,3
서울특별시 영등포구 당산동3가,3
서울특별시 영등포구 문래동6가,3
서울특별시 마포구 용강동,3
서울특별시 용산구 신계동,3
서울특별시 종로구 봉익동,2
서울특별시 중구 회현동1가,2
서울특별시 종로구 무악동,2
서울특별시 종로구 견지동,2
서울특별시 중구 순화동,2
서울특별시 중구 광희동2가,2
서울특별시 중구 충무로5가,2
서울특별시 종로구 혜화동,2
서울특별시 종로구 예지동,2
서울특별시 강서구 오곡동,2
서울특별시 중구 의주로1가,2
서울특별시 종로구 홍파동,2
서울특별시 종로구 서린동,2
서울특별시 중구 필동2가,2
서울특별시 성동구 홍익동,2
서울특별시 성동구 응봉동,2
서울특별시 서대문구 충정로3가,2
서울특별시 서대문구 냉천동,2
서울특별시 서대문구 대신동,2
서울특별시 중구 다동,2
서울특별시 중구 입정동,2
서울특별시 중구 흥인동,2
서울특별시 중구 초동,2
서울특별시 마포구 구수동,2
서울특별시 마포구 현석동,2
서울특별시 중구 을지로2가,2
서울특별시 중구 수하동,2
서울특별시 용산구 도원동,2
서울특별시 중구 북창동,2
서울특별시 성북구 동소문동6가,2
서울특별시 성북구 동선동5가,2
서울특별시 성북구 안암동2가,2
서울특별시 종로구 효제동,2
서울특별시 영등포구 영등포동1가,2
서울특별시 종로구 경운동,2
서울특별시 중구 남대문로2가,2
서울특별시 성북구 동소문동1가,2
서울특별시 중구 인현동1가,2
서울특별시 성북구 보문동4가,2
서울특별시 영등포구 양평동6가,2
서울특별시 영등포구 양평동,2
서울특별시 중구 장충동2가,2
서울특별시 성북구 동소문동4가,2
서울특별시 종로구 내수동,2
서울특별시 종로구 누하동,2
서울특별시 용산구 원효로4가,2
서울특별시 종로구 사간동,2
서울특별시 종로구 명륜3가,2
서울특별시 종로구 세종로,2
서울특별시 종로구 신영동,2
서울특별시 용산구 용산동6가,2
서울특별시 중구 필동1가,1
서울특별시 중구 예장동,1
서울특별시 마포구 마포동,1
서울특별시 중구 무교동,1
서울특별시 중구 태평로2가,1
서울특별시 중구 을지로4가,1
서울특별시 중구 예관동,1
서울특별시 중구 회현동2가,1
서울특별시 중구 주교동,1
서울특별시 중구 남산동1가,1
서울특별시 중구 장충동1가,1
서울특별시 중구 의주로2가,1
서울특별시 중구 필동3가,1
서울특별시 강서구 오쇠동,1
서울특별시 중구 묵정동,1
서울특별시 중구 저동1가,1
서울특별시 중구 수표동,1
서울특별시 중구 산림동,1
서울특별시 중구 충정로1가,1
서울특별시 강남구 율현동,1
서울특별시 종로구 명륜4가,1
서울특별시 중구 만리동1가,1
서울특별시 중구 충무로4가,1
서울특별시 종로구 안국동,1
서울특별시 종로구 신문로1가,1
서울특별시 종로구 인의동,1
서울특별시 종로구 관수동,1
서울특별시 종로구 당주동,1
서울특별시 성북구 보문동5가,1
서울특별시 종로구 통의동,1
서울특별시 성북구 성북동1가,1
서울특별시 종로구 필운동,1
서울특별시 성북구 삼선동3가,1
서울특별시 종로구 누상동,1
서울특별시 영등포구 문래동4가,1
서울특별시 용산구 원효로3가,1
서울특별시 용산구 용산동1가,1
서울특별시 용산구 신창동,1
서울특별시 종로구 연건동,1
서울특별시 종로구 홍지동,1
서울특별시 성동구 금호동3가,1
서울특별시 종로구 운니동,1
서울특별시 중구 을지로1가,1
서울특별시 마포구 신정동,1
서울특별시 서대문구 천연동,1
서울특별시 서초구 염곡동,1
서울특별시 종로구 소격동,1
서울특별시 종로구 종로2가,1
서울특별시 종로구 통인동,1
서울특별시 성동구 상왕십리동,1
서울특별시 종로구 신교동,1
서울특별시 종로구 행촌동,1
서울특별시 종로구 명륜2가,1
서울특별시 용산구 용산동3가,1
서울특별시 종로구 권농동,1
서울특별시 종로구 사직동,1
서울특별시 중구 방산동,1
